2022-08-09
	[속보] "서울 폭우로 1명 사망…가로수 정리중 감전 추정" |  | https://www.joongang.co.kr/article/25092910
	졸지에 대피소로…"하루하루 연명" | 사회>교육_시험,사회>미디어 | https://news.sbs.co.kr/news/endPage.do?news_id=N1006855879&plink=ORI&cooper=ETC

2022-08-10
	[단신]현대중공업그룹, 수해복구 성금 5억 外 | 지역>대구,지역>경기,지역>강원 | https://www.donga.com/news/article/all/20220811/114905551/1

2022-08-11
	기후변화 못 따라잡는 ‘재난 대피소’ | 사회>사회일반 | http://www.seoul.co.kr/news/newsView.php?id=20220811001036

	서울 ‘빗물터널’ 11년 만에 재추진… 수해복구 팔 걷은 단체장들 | 지역>경기,지역>전북,지역>대구 | http://www.segye.com/content/html/2022/08/10/20220810522000.html
	오세훈 “박원순 시장 때 중단됐던 빗물 터널 공사 재개… 1조5000억 투입” |  | http://www.segye.com/content/html/2022/08/10/20220810519956.html

	"가게 차린 지 1년도 안 됐는데"… 전통시장, 한숨 소리로 '가득' |  | http://www.segye.com/content/html/2022/08/10/20220810522259.html
	“흙더미가 집 덮쳐 살 길 막막…다들 강남역 얘기만” | 사회>사회일반 | https://view.asiae.co.kr/article/2022081017342937059

	“특별재난지역 선포” 정치권 한목소리 | 정치>청와대 | https://news.kbs.co.kr/news/view.do?ncd=5530178&amp;ref=DA
	[특보] “특별재난지역 선포” 정치권 한목소리 | 정치>청와대,사회>사회일반 | https://news.kbs.co.kr/news/view.do?ncd=5530656&amp;ref=DA

	박준희 관악·최호권 영등포·김길성 중구청장 침수주택 복구 지원 나서 | 지역>대전,지역>전북,지역>경남 | https://view.asiae.co.kr/article/2022081107203558863
	‘밤샘 비상 근무’…영등포구, 집중호우 피해 복구 총력 | 사회>사회일반,지역>경남,지역>대전 | https://news.kmib.co.kr/article/view.asp?arcid=0017363776&code=61122011&cp=kd
	영등포구, 집중호우 피해 총력 대응 | 사회>사회일반,지역>대전,지역>강원 | http://www.munhwa.com/news/view.html?no=2022081101039927053001
	영등포구, 집중호우 피해 복구 총력 | 사회>사회일반,지역>대전,지역>강원 | https://www.joongang.co.kr/article/25093679
	송파·관악·영등포, 수해 지원금 지급 검토…최대 200만원 | 지역>경기,지역>경남,지역>대전 | https://www.hankyung.com/society/article/2022081175627

	홍수현, 희망브리지에 수해 성금 1천만원 기부 | 지역>충남,지역>대구,지역>경남 | http://www.fnnews.com/news/202208110801189060
	현대重·두산, 수해복구성금 5억씩 기탁 | 지역>대구,지역>경남,지역>강원 | http://biz.heraldcorp.com/view.php?ud=20220811000062
