code,name,market,job
229500,노브메타파마,KONEX,자연과학 및 공학 연구개발업
106520,노블엠앤비,KOSDAQ,사진장비 및 광학기기 제조업
376930,노을,KOSDAQ,의료용 기기 제조업
278650,노터스,KOSDAQ,자연과학 및 공학 연구개발업
006280,녹십자,KOSPI,의약품 제조업
142280,녹십자엠에스,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업
234690,녹십자웰빙,KOSDAQ,의약품 제조업
005250,녹십자홀딩스,KOSPI,회사 본부 및 경영 컨설팅 서비스업
065560,녹원씨엔아이,KOSDAQ,인쇄 및 인쇄관련 산업
004370,농심,KOSPI,기타 식품 제조업
072710,농심홀딩스,KOSPI,기타 금융업
054050,농우바이오,KOSDAQ,작물 재배업
069140,누리플랜,KOSDAQ,"구조용 금속제품, 탱크 및 증기발생기 제조업"
040160,누리플렉스,KOSDAQ,소프트웨어 개발 및 공급업
332290,누보,KOSDAQ,"비료, 농약 및 살균, 살충제 제조업"
126870,뉴로스,KOSDAQ,일반 목적용 기계 제조업
060260,뉴보텍,KOSDAQ,플라스틱제품 제조업
012340,뉴인텍,KOSDAQ,전자부품 제조업
214870,뉴지랩파마,KOSDAQ,기계장비 및 관련 물품 도매업
270870,뉴트리,KOSDAQ,기타 식품 제조업
144960,뉴파워프라즈마,KOSDAQ,특수 목적용 기계 제조업
085670,뉴프렉스,KOSDAQ,전자부품 제조업
119860,다나와,KOSDAQ,소프트웨어 개발 및 공급업
064260,다날,KOSDAQ,소프트웨어 개발 및 공급업
093640,다믈멀티미디어,KOSDAQ,반도체 제조업
340360,다보링크,KOSDAQ,통신 및 방송 장비 제조업
039560,다산네트웍스,KOSDAQ,통신 및 방송 장비 제조업
058730,다스코,KOSPI,"구조용 금속제품, 탱크 및 증기발생기 제조업"
298870,다올인베스트먼트,KOSDAQ,기타 금융업
030210,다올투자증권,KOSPI,금융 지원 서비스업
023590,다우기술,KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
032190,다우데이타,KOSDAQ,기계장비 및 관련 물품 도매업
323350,다원넥스뷰,KONEX,사진장비 및 광학기기 제조업
068240,다원시스,KOSDAQ,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
145210,다이나믹디자인,KOSPI,특수 목적용 기계 제조업
271850,다이오진,KONEX,자연과학 및 공학 연구개발업
019680,대교,KOSPI,초등 교육기관
006370,대구백화점,KOSPI,종합 소매업
008060,대덕,KOSPI,기타 금융업
353200,대덕전자,KOSPI,전자부품 제조업
000490,대동,KOSPI,특수 목적용 기계 제조업
178600,대동고려삼,KONEX,기타 식품 제조업
020400,대동금속,KOSDAQ,금속 주조업
008830,대동기어,KOSDAQ,특수 목적용 기계 제조업
048470,대동스틸,KOSDAQ,1차 철강 제조업
008110,대동전자,KOSPI,통신 및 방송 장비 제조업
004780,대륙제관,KOSDAQ,기타 금속 가공제품 제조업
005750,대림B&Co,KOSPI,"내화, 비내화 요업제품 제조업"
017650,대림제지,KOSDAQ,기타 종이 및 판지 제품 제조업
006570,대림통상,KOSPI,기타 금속 가공제품 제조업
007720,대명소노시즌,KOSDAQ,상품 종합 도매업
389260,대명에너지,KOSDAQ,건물 건설업
317850,대모,KOSDAQ,특수 목적용 기계 제조업
290670,대보마그네틱,KOSDAQ,기타 전기장비 제조업
078140,대봉엘에스,KOSDAQ,의약품 제조업
001680,대상,KOSPI,기타 식품 제조업
084690,대상홀딩스,KOSPI,기타 금융업
036480,대성미생물,KOSDAQ,의약품 제조업
128820,대성산업,KOSPI,연료 소매업
117580,대성에너지,KOSPI,연료용 가스 제조 및 배관공급업
025440,대성엘텍,KOSDAQ,영상 및 음향기기 제조업
027830,대성창투,KOSDAQ,신탁업 및 집합투자업
104040,대성파인텍,KOSDAQ,자동차 신품 부품 제조업
016710,대성홀딩스,KOSPI,회사 본부 및 경영 컨설팅 서비스업
387310,대신밸런스제10호스팩,KOSDAQ,금융 지원 서비스업
397500,대신밸런스제11호스팩,KOSDAQ,금융 지원 서비스업
426670,대신밸런스제12호스팩,KOSDAQ,금융 지원 서비스업
020180,대신정보통신,KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
003540,대신증권,KOSPI,금융 지원 서비스업
045390,대아티아이,KOSDAQ,기타 전기장비 제조업
009190,대양금속,KOSPI,1차 철강 제조업
108380,대양전기공업,KOSDAQ,선박 및 보트 건조업
006580,대양제지,KOSDAQ,"펄프, 종이 및 판지 제조업"
014160,대영포장,KOSPI,"골판지, 종이 상자 및 종이용기 제조업"
047040,대우건설,KOSPI,건물 건설업
009320,대우부품,KOSPI,자동차 신품 부품 제조업
042660,대우조선해양,KOSPI,선박 및 보트 건조업
003090,대웅,KOSPI,의약품 제조업
