name,type,address1,address2
국립해양생물자원관,기타공공기관,충청남도,서천군
국립호남권생물자원관,기타공공기관,전라남도,목포시
국방과학연구소,기타공공기관,대전광역시,유성구
국토교통과학기술진흥원,준정부기관(위탁집행형),경기도,안양시 동안구
국토연구원,기타공공기관,세종특별자치시,
극지연구소,기타공공기관,인천광역시,연수구
기초과학연구원,기타공공기관,대전광역시,유성구
나노종합기술원,기타공공기관,대전광역시,유성구
녹색기술센터,기타공공기관,서울특별시,중구
대구경북과학기술원,기타공공기관,대구광역시,달성군
대구경북첨단의료산업진흥재단,기타공공기관,대구광역시,동구
대외경제정책연구원,기타공공기관,세종특별자치시,
동북아역사재단,기타공공기관,서울특별시,서대문구
분당서울대학교병원,기타공공기관,경기도,성남시 분당구
산업연구원,기타공공기관,,
선박해양플랜트연구소,기타공공기관,대전광역시,유성구
세계김치연구소,기타공공기관,광주광역시,남구
소프트웨어정책연구소,준정부기관(위탁집행형),경기도,성남시 분당구
안전성평가연구소,기타공공기관,대전광역시,유성구
에너지경제연구원,기타공공기관,울산광역시,중구
울산과학기술원,기타공공기관,울산광역시,울주군
건설기술교육원,기타공공기관,인천광역시,남동구
전쟁기념사업회,기타공공기관,서울특별시,용산구
중소벤처기업연구원,기타공공기관,서울특별시,동작구
차세대수치예보모델개발사업단,기타공공기관,서울특별시,동작구
학교법인한국폴리텍,기타공공기관,인천광역시,부평구
한국개발연구원,기타공공기관,세종특별자치시,
한국건강증진개발원,준정부기관(위탁집행형),서울특별시,광진구
한국건설기술연구원,기타공공기관,경기도,고양시 일산서구
한국고전번역원,기타공공기관,서울특별시,은평구
한국과학기술기획평가원,기타공공기관,충청북도,음성군
한국과학기술연구원,기타공공기관,서울특별시,성북구
한국과학기술원,기타공공기관,대전광역시,유성구
한국과학기술정보연구원,기타공공기관,대전광역시,유성구
한국과학영재학교,기타공공기관,부산광역시,부산진구
한국과학창의재단,준정부기관(위탁집행형),서울특별시,강남구
한국교육개발원,기타공공기관,충청북도,진천군
한국교육과정평가원,기타공공기관,충청북도,진천군
한국교육학술정보원,준정부기관(위탁집행형),대구광역시,동구
한국교통연구원,기타공공기관,세종특별자치시,시청대로
한국국방연구원,기타공공기관,서울특별시,동대문구
한국기계연구원,기타공공기관,대전광역시,유성구
한국기술교육대학교,기타공공기관,충청남도,천안시 동남구
한국기초과학지원연구원,기타공공기관,대전광역시,유성구
한국나노기술원,기타공공기관,경기도,수원시 영통구
한국노동연구원,기타공공기관,세종특별자치시,시청대로
한국농촌경제연구원,기타공공기관,전라남도,나주시
한국뇌연구원,기타공공기관,대구광역시,동구
한국문화관광연구원,기타공공기관,서울특별시,강서구
한국문화재재단,기타공공기관,서울특별시,강남구
한국법제연구원,기타공공기관,,
한국보건복지인재원,준정부기관(위탁집행형),충청북도,청주시 흥덕구
한국보건사회연구원,기타공공기관,세종특별자치시,시청대로
한국보건의료연구원,기타공공기관,서울특별시,광진구
한국사학진흥재단,기타공공기관,대구광역시,동구
한국생명공학연구원,기타공공기관,대전광역시,유성구
한국세라믹기술원,기타공공기관,경상남도,진주시
한국수목원정원관리원,준정부기관(위탁집행형),세종특별자치시,
한국수자원조사기술원,기타공공기관,경기도,고양시 일산서구
한국식품연구원,기타공공기관,전라북도,완주군
한국양성평등교육진흥원,기타공공기관,서울특별시,은평구
한국여성정책연구원,기타공공기관,서울특별시,은평구
한국연구재단,준정부기관(위탁집행형),대전광역시,유성구
한국원자력연구원,기타공공기관,대전광역시,유성구
한국의약품안전관리원,기타공공기관,경기도,안양시 동안구
한국잡월드,기타공공기관,경기도,성남시 분당구
한국재료연구원,기타공공기관,경상남도,창원시 성산구
한국전기연구원,기타공공기관,경상남도,창원시 성산구
한국전력국제원자력대학원대학교,기타공공기관,울산광역시,울주군
한국전자통신연구원,기타공공기관,대전광역시,유성구
한국조세재정연구원,기타공공기관,세종특별자치시,시청대로
한국지질자원연구원,기타공공기관,대전광역시,유성구
한국직업능력연구원,기타공공기관,세종특별자치시,
한국천문연구원,기타공공기관,대전광역시,유성구
한국철도기술연구원,기타공공기관,경기도,의왕시
한국청소년상담복지개발원,준정부기관(위탁집행형),부산광역시,해운대구
한국청소년정책연구원,기타공공기관,세종특별자치시,
한국청소년활동진흥원,준정부기관(위탁집행형),서울특별시,서대문구
한국표준과학연구원,기타공공기관,대전광역시,유성구
한국학중앙연구원,기타공공기관,경기도,성남시 분당구
한국한의학연구원,기타공공기관,대전광역시,유성구
한국항공우주연구원,기타공공기관,대전광역시,유성구
한국항로표지기술원,기타공공기관,세종특별자치시,
한국해양과학기술원,기타공공기관,부산광역시,영도구
한국해양수산개발원,기타공공기관,부산광역시,영도구
한국핵융합에너지연구원,기타공공기관,대전광역시,유성구
한국행정연구원,기타공공기관,서울특별시,은평구
한국형사·법무정책연구원,기타공공기관,서울특별시,서초구
한국화학연구원,기타공공기관,대전광역시,유성구
한국환경연구원,기타공공기관,세종특별자치시,
해양수산과학기술진흥원,준정부기관(위탁집행형),서울특별시,서초구
우체국물류지원단,준정부기관(위탁집행형),서울특별시,광진구
국가철도공단,준정부기관(위탁집행형),대전광역시,동구
국토안전관리원,준정부기관(위탁집행형),경상남도,진주시
도로교통공단,준정부기관(위탁집행형),강원도,원주시
부산항만공사,공기업(시장형),부산광역시,중구
새만금개발공사,기타공공기관,전라북도,군산시
여수광양항만공사,공기업(준시장형),전라남도,광양시
울산항만공사,공기업(준시장형),울산광역시,남구
인천국제공항공사,공기업(시장형),인천광역시,중구
인천항만공사,공기업(시장형),인천광역시,중구
에스알,공기업(준시장형),서울특별시,강남구
코레일네트웍스,기타공공기관,서울특별시,용산구
코레일로지스,기타공공기관,서울특별시,중구
코레일유통,기타공공기관,서울특별시,영등포구
한국공항공사,공기업(시장형),서울특별시,강서구
한국교통안전공단,준정부기관(위탁집행형),경상북도,김천시
한국국토정보공사,준정부기관(위탁집행형),전라북도,전주시 덕진구
한국도로공사,공기업(준시장형),경상북도,김천시
한국부동산원,공기업(준시장형),대구광역시,동구
한국상하수도협회,기타공공기관,서울특별시,영등포구
한국수자원공사,공기업(준시장형),대전광역시,대덕구
한국철도공사,공기업(준시장형),대전광역시,동구
한국토지주택공사,공기업(준시장형),경상남도,진주시
